,DC_POWER,DC_POWER,DC_POWER,DC_POWER,AC_POWER,AC_POWER,AC_POWER,AC_POWER,DAILY_YIELD,DAILY_YIELD,DAILY_YIELD,DAILY_YIELD,TOTAL_YIELD,TOTAL_YIELD,TOTAL_YIELD,TOTAL_YIELD,AMBIENT_TEMPERATURE,AMBIENT_TEMPERATURE,AMBIENT_TEMPERATURE,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,MODULE_TEMPERATURE,MODULE_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,IRRADIATION,IRRADIATION,IRRADIATION
,mean,median,std,var,mean,median,std,var,mean,median,std,var,mean,median,std,var,mean,median,std,var,mean,median,std,var,mean,median,std,var
PLANT_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4136001,246.7,0.0,370.57,137321.83,241.28,0.0,362.11,131125.19,3294.89,2911.0,2919.45,8523178.88,658944788.42,282627587.0,729667771.07,5.324150561429951e+17,27.99,26.91,4.02,16.17,32.61,27.43,11.23,126.03,0.23,0.02,0.31,0.1
